Insert,Search
0.99,0.99
1.05,0.99
1.12,1.08
1.4,1.01
1.24,1.04
1.42,1.01
1.26,1.02
1.38,1.02
1.16,1.2
1.45,1.55
1.79,1.23
2.15,1.05
1.18,1.01
1.44,1.1
1.61,1.1
1.51,1.5
1.23,2.17
1.97,2.44
2.82,1.74
2.13,2.01
1.33,1.66
1.94,1.68
1.64,1.42
1.35,1.05
1.07,1.08
1.5,1.29
1.77,1.77
1.66,1.62
2.24,1
1.42,1.12
1.32,1.86
1.46,1.26
1.17,1.01
1.1,1.37
1.67,1.16
1.68,1.61
3.44,3.05
5.48,3.11
1.24,1.97
3.07,1.28
1.96,1.11
1.2,1.07
1.1,1.08
1.21,1.11
1.16,1.07
1.29,1.3
1.52,1.55
1.72,1.09
1.11,1.02
1.06,1.21
2.1,1.22
1.22,1.17
1.62,1.37
1.25,1.56
2.23,3.1
2.99,2.31
2.34,1.33
2.47,1.67
2.08,1.89
1.98,1.53
1.67,1.26
1.38,1.2
1.33,1.26
1.27,1.65
1.68,1.51
1.64,1.49
1.51,1.22
1.11,1
1.36,1.61
2.18,1.3
1.8,1.48
1.67,1.55
1.4,1.12
1.71,2.08
3.07,3.27
3.04,2.86
2.23,1.5
2.45,1.87
2.72,1.85
1.45,1.31
1.67,1.19
2.26,1.3
1.27,1.67
1.68,1.36
1.99,1.57
1.64,1.11
1.61,1.8
1.64,1.41
2.21,1.16
2.14,2.26
4.71,3.32
3.28,2.47
1.09,1.83
2.22,1.38
1.91,1.75
2.16,1.1
1.68,2.34
1.85,1.94
1.93,1.22
1.26,1.2
1.37,1.19
1.47,1.19
1.39,1.55
1.63,1.56
2.09,1.11
2.69,4.05
4.1,3.06
3.78,2.22
2.75,2.32
2.59,2.04
1.85,1.13
1.16,1.22
1.36,1.19
1.45,1.14
1.34,1.37
1.44,1.5
1.94,1.52
1.1,1.04
1.74,1.52
2.16,1.28
1.94,1.18
1.89,1.52
1.58,1.5
2.71,3.45
3.96,3.36
4.26,1.07
2.29,1.72
2.74,2
1.64,1.4
1.5,1.27
1.44,1.24
1.48,1.16
1.86,1.44
2.2,1.84
1.73,1.13
1.67,1.55
1.77,1.49
2.2,1.14
2.52,2.61
5,3.09
3.86,2.64
1.56,2.03
2,1.85
1.77,1.71
1.36,1.07
2.12,1.97
2.15,2.15
1.38,1.21
1.39,1.54
1.64,1.51
2.45,2.39
4.6,2
3.11,1.58
2.97,2.44
3.92,2.78
4.16,2.2
1.33,2.96
2.58,2.29
1.66,1.3
1.35,1.3
1.47,1.31
1.46,1.11
1.58,1.46
1.71,1.65
3.19,1.11
2.03,1.73
1.93,1.28
2.26,1.3
2.14,2.25
3.91,3.79
3.24,2.59
1.27,2.61
2.45,2.26
2.22,1.4
1.51,1.38
1.68,1.46
1.34,1.36
1.22,1.82
2.02,1.96
2.12,1.65
1.24,1.51
2.07,1.74
1.89,1.82
1.48,2.36
2.76,4.4
3.52,3.17
1.88,2.73
2.43,1.89
2.3,1.37
1.45,1.28
1.68,1.39
2.05,1.35
1.55,1.62
1.56,1.96
2.89,1.44
1.75,1.66
1.95,1.12
1.95,1.95
1.23,2.02
2.88,4.04
3.4,3.07
1.65,2.57
2.29,2.22
2.99,1.6
1.73,1.61
1.67,1.42
2.1,1.22
1.38,1.94
1.87,1.7
2.17,1.54
1.21,1.33
1.76,1.79
1.51,2.3
1.25,1.97
3.14,4.68
3.37,3.96
2.14,1.54
2.62,2.57
2.63,1.8
1.47,1.22
1.45,1.31
1.51,1.56
1.61,1.76
2.13,1.17
2,1.74
1.89,1.89
2.13,1.14
1.71,1.46
2.15,2.16
4.22,3.22
3.16,2.41
1.45,2.88
2.92,2.54
2.04,1.28
1.38,1.47
1.61,1.36
1.49,1.22
1.7,1.8
2.14,2.02
2.22,1.19
1.56,1.77
2.36,1.55
2.4,1.11
3.2,3.3
4.9,4.33
4,1.89
2.15,2.25
2.55,2.08
1.5,1.26
1.81,1.45
1.68,1.51
1.67,1.23
1.62,1.61
2.27,1.87
1.64,1.23
1.63,1.63
1.81,1.81
1.81,1.37
2.87,2.65
8.9,4.21
3.58,1.88
3.4,2.01
2.33,1.51
1.44,1.46
1.73,1.6
1.63,1.94
1.7,2.29
3.21,2.13
2.63,1.29
1.89,1.87
2.12,2.33
