Insert,Search
1.13,1.44
2.28,2.31
2.39,2.44
1.06,1.02
1.07,1.07
1.03,1.35
1.03,1.24
1.07,1.07
1.02,1.01
1,1
1.01,1.01
1,1.03
1.2,1
1.01,1.02
1.29,1.03
1,1
1.12,1
1.12,1.04
1.55,1.38
1.33,1.62
1.51,1.11
1,1
1,0.98
1.19,1
1,1.11
1.16,1.06
1.09,1.36
1.28,1.24
1.12,1.3
1.16,1.09
0.98,1.13
1.04,1.2
1.1,1.05
1.02,1.2
1.02,0.97
1,0.98
0.99,1
1.01,1
1.1,0.98
0.99,1
1.18,0.99
1.02,1
1.29,0.99
0.98,1.07
1.04,0.99
1,1.03
0.96,1.11
1.04,1.12
1.58,1.72
1.18,1.61
1.07,1.3
1.09,1.08
1,1.05
1,1
0.94,1
1,1.47
0.94,0.97
0.97,1.12
1.01,1.09
1.02,1.24
0.99,0.99
0.96,0.99
0.99,1
1,1.1
1.06,1.01
0.99,1.2
1.03,1.06
1.03,1.11
0.98,1.07
0.93,0.95
1.05,1.17
1.09,1.96
1.37,1.51
1.55,1.2
1.13,1.26
1.02,1.09
1.12,1.25
1.07,1.11
1.01,1.1
0.99,0.99
1.2,1.51
1.13,1.19
1.32,1.19
1.05,1.71
1.1,1.01
0.98,1.09
1.61,1.31
0.85,1.13
1.02,0.97
0.93,0.96
0.94,0.99
1,1.12
1.22,1.16
1.1,1.43
1.09,1.13
1.42,1.23
1.12,1.06
0.69,1.02
1.1,1
1.67,1.6
1.65,1.14
1.02,1.01
1.07,1.15
0.88,0.96
0.9,0.98
0.66,0.94
0.8,0.94
1.32,1.04
0.87,0.99
0.55,0.84
0.87,0.97
0.89,0.91
0.79,1.05
0.84,0.88
0.82,1.03
1.08,1.33
1.25,1.42
1.29,1.12
1.07,1.05
0.72,1.04
1.15,1.18
1.45,1.1
0.95,1.01
1.13,0.98
0.6,0.71
0.48,1.09
0.93,1.03
0.87,1.83
0.99,0.93
0.78,0.91
0.81,0.92
0.86,0.89
0.95,0.95
0.81,0.97
1.06,1.05
0.73,0.89
0.93,1.05
0.66,0.94
1.03,1.5
1.12,1.85
1.69,2.11
2.2,2.37
1.36,1.04
1.03,1.12
1.72,1.78
1.45,1.37
0.83,1.06
0.87,0.95
0.92,0.98
0.87,0.95
1.03,0.93
0.83,0.97
0.9,1.02
0.88,0.94
0.9,1.22
0.74,0.98
0.96,0.93
0.98,0.98
0.85,1.01
1.23,0.95
0.93,1.08
1.1,1.09
1.27,1.27
1.27,1.1
1.08,1.03
0.81,0.99
1.08,1.05
1.2,1.04
0.93,0.95
0.97,0.89
0.78,0.99
0.79,1.06
0.79,0.96
0.86,0.94
0.73,0.93
0.92,0.92
0.86,1.01
0.85,0.97
0.59,0.96
0.86,1.33
1.98,1.29
1.19,1.07
0.76,0.92
1.06,1.37
1.11,1.23
1.21,1.34
1.16,1.18
1.21,1.44
0.8,0.82
