Insert,Search
1.03,1.1
1.03,1.61
1.51,1
1.17,1.01
1.03,1.02
1.51,1.02
1.19,1.14
1.75,1.43
1.38,2.56
1.99,1.9
1.75,1.52
1.15,1.45
1.26,1.66
1.14,1.84
2.46,1.42
1.6,1.15
1.23,1.04
1.03,1.01
1.16,1.02
1.25,1.04
1.64,1.11
1.25,1.06
1,1.05
1.13,1.07
1.34,2.13
2.22,1.51
1.54,1.74
1.47,1.68
1.26,1.07
1.23,1.49
2.15,1.99
1.31,1.94
1.83,1.66
1.52,1.08
1.56,2.06
1.44,1.31
1.47,1.38
1.58,1.46
1.67,1.46
1.25,1.04
1.02,1.2
1.12,1.23
1.34,1.57
1.27,1.34
1.21,1.06
1.01,1.18
1.11,1
1.25,1.11
1.21,1.11
1.01,1.17
1.36,1.02
1.17,1.49
1.42,1.82
1.69,1.65
1.17,1.5
1.4,1
1.21,1.74
1.31,1.13
1.11,1.15
1.15,1.39
1.22,1.01
1.13,1.1
1.5,1.04
1.01,1.06
1.19,1.03
1.18,1.29
1.39,1.33
1.21,1.08
1.1,1.57
1.82,2.36
1.48,1.07
1.97,2.29
1.26,2.43
1.84,1.86
1.91,1.72
1.13,1.33
1.48,1.19
1.12,1.27
1.35,1.09
1.12,1.08
1.11,1.02
1,1.01
1.16,1.15
1.09,1.12
1.15,1.32
1.25,1.1
1.05,1
1.07,1.02
1.12,1.6
1.42,1.64
1.14,1.09
1.29,1.71
1.72,2.04
2.48,1.56
1.49,2.41
1.02,1
1.16,1.88
1.31,1.62
1.49,1.31
1.45,1.08
0.99,1.1
1.57,1.12
1.24,1.02
1.39,1.01
1.11,1
1.41,1
1.13,1.05
1.15,1.19
1.44,1.22
1,1.22
1.28,1.05
1.15,2.87
2.52,2.85
1.55,1.71
1.63,1.89
1.61,1.05
1.25,1.53
2.11,1.2
1.12,1.04
1.15,1.01
1.22,1.01
1.18,1
1.04,1
1.08,1
1.18,1.06
1.3,1.17
1.29,1.03
1.1,1.03
1.39,1.56
1.22,1.29
1.3,1.12
1.17,1.36
1.14,1.32
2.03,1.89
1.45,1.68
1.46,1.43
1,1.17
1.32,1.14
1.33,1.17
1.32,1.02
1.12,1.01
1.02,1.09
1.16,1.01
1.12,1.02
1.19,1.04
1.02,1.08
1.27,1.06
1.96,1
1.17,1.82
2.33,1.67
1.94,1.71
1.53,2.36
1.68,2.35
1.91,2.47
2.48,2.65
2.26,1.5
1.49,1.34
1.15,1.38
1.39,1.21
1,1
1.09,1.02
1.44,1.16
1.36,1.24
1.36,1.63
1.03,1.01
1.19,1.05
1.15,1.01
1.13,1.03
1,1.02
1.2,1.08
1.06,1.04
1.16,1.23
1.14,1.08
1.04,1.06
1.14,1.45
1.47,1.9
1.68,1.97
1.17,1.69
1.59,1.61
1.19,1.11
1.48,1.39
1.18,2.62
1.04,1.28
1.7,1.14
1.3,1.34
1.43,1.31
1.21,1.27
1.16,1.01
1.14,1.02
1.43,1.06
1.12,1.03
1,1.14
1.24,1.04
1.16,1.16
1.37,1.07
1.55,1.52
1.19,1.97
1.68,1.73
1.48,1.67
1.57,1.07
1.08,2.27
1.35,1.25
1.4,1.19
1.13,1
1.11,1
1,1
1.16,1.01
1.12,1.05
1.27,1.11
1.01,1.18
1.46,1.42
1.18,1
1.24,1.29
1.21,1.9
1.33,1.59
1.36,1.02
1.33,1.82
1.45,2.17
2.22,2.58
2.45,2.69
1.51,1.84
1.4,1.66
1.25,1.49
1.07,1.24
1.13,1
1.19,1.02
1.14,1.01
1.31,1.01
1.01,1.25
1.28,1.42
1.33,1.69
2.19,1.06
1.28,1.37
1.34,1.19
1.25,1.67
1.52,1.1
1.37,2.78
2.77,4.17
2.04,2.06
1.76,1.73
1.14,1.33
1.21,1.48
1.52,1.39
1.65,1.19
