Insert,Search
1.54,1.56
1.28,1.03
1.39,1
1.02,1.02
1.07,1
1.13,1
1.52,1.28
2.15,2.26
1.73,1.69
2.25,1.65
1.83,2.63
1.74,1.64
2.13,2.07
1.34,1.04
1.19,1
1.27,1
1.14,1
1.01,1.13
1.8,1.1
1.13,1.08
1.21,1
1.07,1.21
1,1.03
1.18,1.24
1.18,1.21
1.16,1.1
1.02,1.05
1.37,1.26
1.58,2.17
1.52,1.69
1.45,1.44
1.07,1.03
1.47,1.08
1.36,1.1
1.25,1.04
1.12,1
1.19,1.01
1.14,1.02
1.29,1.01
1.18,1.09
1.02,1.02
1.22,1.08
1.22,1
1.11,1
1.19,1.04
1,1.08
1.18,0.99
1.31,1.34
1.52,2.34
1.39,1.77
2.02,1.78
1.55,1.02
1.28,1.16
1.27,1.07
1.1,1.01
1.22,1
1.14,1.01
1.13,1
0.99,1.01
1.1,1.17
1.44,1.03
1.24,1.08
1.24,1.06
0.99,1.03
1.2,1.07
1.26,1.03
1.21,1.12
1.05,1.12
1.42,1.92
2.1,1.63
1.86,1.9
1.56,1.38
1.08,1.24
1.62,1.25
1.34,1.61
1.36,1.03
1.11,1.01
1,1.01
1.11,1.01
1.1,1.01
1.12,1.12
1.02,1.05
1.2,1.25
1.27,1.03
1.05,1.1
1.24,1.46
1.07,1.01
1.18,1.14
1.11,1.3
1.35,1.24
1.5,2.51
1.87,1.51
1.4,1.24
1.08,1.69
1.25,1.31
1.04,1.18
1.23,1.01
1.16,1.08
1.11,0.99
1,1.04
1.13,1
1.07,1.03
1.52,1.01
1.56,1.27
1.07,1
1.16,1.06
1.18,1.02
1.1,1.04
1.15,0.99
1.13,1.19
1.41,1.96
2.1,1.38
1.49,1.5
1.04,1.17
1.76,1.19
1.36,1.08
1.3,1
1.12,1.01
1.07,1
1.11,1.16
1.12,1.01
1.07,1.02
1.16,1.04
1.18,1.15
1.15,1.14
0.98,1
1.11,1.05
1.02,1.02
0.99,1.06
1.23,0.97
1.16,1.44
1.09,1.68
2.19,1.4
1.52,1.43
1.4,1.12
1.16,1.35
1.02,1.11
1.24,1.2
1.15,0.99
1.08,1.08
1.08,1.01
0.97,1.02
1.1,0.98
1.1,1.06
1.44,1.05
0.98,1.28
1.25,0.97
0.71,1.02
1.02,1.05
1.18,0.99
0.96,1.07
0.97,0.99
1.24,1.31
1.5,1.88
1.46,1.48
1.6,1.48
1.47,0.98
0.73,1.21
1.56,1.14
0.89,1.17
1.18,1.01
1.12,1.22
1.13,1.12
1.09,1.35
1.41,1.01
1.16,1.08
1.09,1.01
1.06,1.01
0.95,1
1.05,1
1.15,1.24
1.37,1.35
1.59,1.08
0.84,1.17
1.42,1.61
1.95,1.81
1.59,1.6
1.14,1.3
1.24,1
1.37,1.08
1.38,1.17
1.39,1.08
0.95,1.01
1.06,1
1.06,0.99
1.06,1.02
0.92,1.02
1.77,1.02
1.1,1.2
1.18,1.05
0.89,0.99
0.94,1.02
1.16,1.14
1.05,1.06
1.15,1
1.03,1.21
1.65,2.28
2.16,1.52
1.62,1.41
