Insert,Search
2.18,2.48
2.29,1.58
1.99,1.83
1.26,1.15
1.72,1.17
1.37,1.13
1.14,1.34
1.11,1.01
1.09,1.02
1.18,1.47
1.15,1.79
1.4,1.79
1.83,1.55
2.01,1.7
1.59,1.41
1.07,1.4
1.44,1.03
1.19,1.03
1.53,1.61
1.53,1.84
1.9,1.53
1.89,1.24
1.13,1.45
1.52,1.65
1.41,1.59
1.62,1.71
2.52,1.09
1.58,1.56
1.48,1.17
1.23,1.17
1.24,1.02
1.2,1.03
1.29,1.04
1,1.01
1.11,1.11
1.19,1.07
1.35,1.2
1.18,1
1,1.04
1.16,1.1
1.4,1.24
1.34,1.14
1.05,1.65
1.7,1.89
2.51,2.27
1.77,1.71
1.49,1.07
1.07,1.17
1.32,1.12
1.2,1.18
1.59,1.07
1,1.01
1.13,1
1.14,1.17
1.97,1.25
1.3,1.41
1.07,1.09
1.13,1.02
1.12,1.01
1.14,1.04
1.14,1
1.14,1.44
1.42,1.31
1.28,1.05
1.23,1.52
1.09,1.05
1.39,1.16
1.1,1.1
1.49,1.95
1.74,2.06
1.32,1.55
1.5,1.49
1.1,1.28
1.36,1.15
1.07,1.29
1.15,1.03
1.1,1.07
1.11,1
1.21,1.13
1.08,1.03
1.21,1.12
1.32,1.04
1.62,1.11
1.09,1.31
1.47,1.02
1.24,1.05
1.36,0.98
1.06,1.01
1.2,1.45
1.67,1.61
1.46,1.79
1.6,1.26
1.21,1.55
1.09,1.21
1.21,1.45
1.19,1
1.09,1.08
1.12,1.04
1.24,1.01
1.17,1
1.18,1.08
1.19,1.06
1.03,1.3
1.31,1.02
1.14,1.08
1.18,1.04
1.02,1.15
1.21,1.04
1.26,1.33
1.91,2.03
1.47,1.35
1.13,1.65
1.14,1.34
1.37,1.16
1.28,1.11
1.25,1.07
1.2,1
1.22,1.01
1.18,1.02
1.16,0.98
1.01,1.25
1.25,1.14
1.15,1.11
1.25,1.01
1.32,1.04
1.05,1.06
1.03,1.14
1.34,1
1.21,1.28
1.19,1.42
2.03,1.69
1.65,1.61
1.83,1.08
1.23,1.5
1.11,1.55
1.37,1.12
1.14,1.02
1.11,1.19
1.01,1.01
1.13,1.05
1.12,1
1.14,1.2
1.55,1.21
1,1.29
1.21,0.98
1.08,1.04
1.14,1.03
0.98,0.99
1.3,1.04
1,1.12
1.55,1.39
1.93,1.83
1.17,1.36
1.47,1.73
1.02,1.32
1.46,1.41
1.28,1.22
1.06,1.09
1.15,1.02
1.22,1.23
1.78,1.56
1.59,1.43
1.14,1.52
1.55,1.17
1.22,1.38
1.36,1.01
1.04,1.18
1.99,1.5
1.09,1.16
1.34,1.14
1.04,1.93
1.63,1.54
2.33,2.11
1.74,1.43
1.49,1.18
1,1.39
1.32,1.39
1.16,1.25
1.14,1.07
1.06,1.01
1.13,1.31
1.34,1.07
1.2,1.02
1.14,1.04
1.02,1.32
1.21,1.22
1.23,0.99
1.06,1.04
1.3,1.76
1.01,1.09
1.36,1
1.3,1.17
1.7,2.11
1.54,1.78
1.75,1.97
2.44,1.4
1.99,1.2
1.34,1.73
1.26,1.47
1.16,1.02
1.16,1.09
1.31,1.08
1.11,1.03
1.12,1.18
1.16,1.17
1.3,1.46
1.52,1.01
1.03,1.18
1.33,1.16
1.4,1.05
1.21,1.01
1.08,1.31
1.5,1.97
1.66,1.51
1.58,1.38
1.12,1.4
1.3,1.47
1.37,1.41
1.41,1.58
1.14,1.02
1.15,1.01
1.01,1.03
1.65,1.02
1.27,1.14
1.46,1.26
1.11,1.09
1.21,1.15
1.17,1.1
1.4,1.16
1.17,1.2
1.07,1.05
1.38,1.36
1.65,2.57
1.87,1.75
1.37,1.57
1.57,1.13
1.57,1.31
1.36,1.19
1.25,1.09
1.04,1.01
1.13,1.02
1.18,1.06
1.22,1.15
1.05,1
1.21,1.28
1.12,1.12
1.2,1.03
1.26,1.27
1.17,1.28
1.1,1.02
1.16,1.19
1.29,1.19
1.45,1.57
2.31,1.89
1.99,2.14
2.02,1.43
1.42,1.7
1.83,1.31
1.45,1.16
1.25,1.07
1.1,1.06
1.14,1.01
1.03,1.38
1.13,1.03
1.18,1.33
1.38,1.14
1.16,1.15
1.09,1.02
1.24,1.19
1.2,1
1.1,1.21
1.11,1.01
1.55,1.4
1.71,2.15
1.8,1.53
1.57,1.92
1.26,1.49
1.79,1.34
1.59,1.54
1.52,1.32
1.19,1.02
1.4,1.02
1.19,1.01
1.16,1.23
1.3,1.27
1.14,1.5
1.52,2.53
1.42,1.11
1.54,1.65
1.41,1.3
1.58,1.67
1.45,1.58
1.76,2.02
3.07,2.4
1.58,1.78
2.86,1.22
1.57,2.64
1.72,1.39
1.36,1.34
1.19,1.05
1.21,1.06
1.12,1.05
1.16,1.01
1,1.1
1.53,1.2
1.53,1.66
1.44,1.04
1.03,1.07
1.26,1.25
1.18,1.11
1.3,1.04
1.59,1.31
1.48,2.4
2.35,1.8
1.95,1.69
1.41,1.23
1.77,1.14
1.37,1.32
1.35,1.18
1.13,1.01
1.21,1.07
1.01,1.04
1.15,1.19
1.3,1.09
1.19,1.86
1.4,1.37
1.15,1.02
1.18,1.14
1.51,1.04
1.34,1.16
1.02,1.56
1.75,1.9
2.44,2.02
2.14,1.97
1.93,1.14
1.41,1.67
2.17,1.23
1.63,1.06
1.14,1.01
1.13,1.06
1.16,1.11
1.42,1.05
1.22,1.39
1.22,1.23
1.2,1.38
1.34,1.03
1.48,1.11
1.41,1.05
1.69,1.26
1.09,1.14
1.64,1.52
2.74,2.46
2.48,1.78
1.57,1.26
1.2,1.83
1.86,1.55
1.46,1.61
1.71,1.12
1.48,1.42
1.3,1.07
1.3,1.05
1.12,1.08
1.12,1.07
1.39,1.16
1.49,1.08
1.15,1.06
1.31,1.22
1.14,1.1
1.92,1.02
1.63,1.8
2.2,1.87
2.6,2.05
2.53,2.05
1.79,1.61
2.08,1.64
2.23,1.46
1.8,1.17
1.2,1.01
