Insert,Search
1.04,1.14
1,1.32
1.16,1.72
1.01,1.55
1.41,2.43
1.16,1.8
1.12,1.84
1.3,3.19
1.11,3
1.25,3.3
1.59,6.14
1.26,3.79
1.02,3.46
1.22,6.18
1.39,3.38
2.1,5.41
1.19,3.72
1,4.56
1.12,5.14
1.08,5.43
1.24,6.64
1.11,4.72
0.97,10.33
1.29,9.07
1.27,9.12
1.53,5.86
1.12,6.08
1.42,10.43
0.84,9.72
1.12,7.22
1.53,7.28
0.86,6.95
0.9,7.75
0.74,7.84
1.02,8.64
0.77,20.36
1.28,11.45
1.02,9.63
0.64,8.38
0.63,11.37
0.32,9.98
0.67,11.38
0.58,26.55
0.88,16.36
1.22,11.48
0.76,9.71
0.76,11.51
0.26,9.34
0.34,13.25
0.46,21.18
0.61,13.99
0.35,10.89
0.42,10.95
0.7,12.57
1.11,13.45
1.03,24.58
0.6,15.51
0.8,15.47
0.31,12.87
0.35,12.39
0.47,22.65
0.78,25.34
0.79,11.02
0.54,13.77
0.34,13.26
0.48,16.9
0.91,27.12
0.46,16.39
0.42,15.28
0.36,14.64
0.54,16.87
0.92,27.47
0.17,16.57
0.43,17.86
0.72,16.49
0.93,32.4
0.57,24
0.32,16.08
0.13,16.01
0.2,24.74
1.01,33.49
0.24,19.17
0.47,17.73
0.36,20.49
0.6,40.42
0.8,17.8
0.39,19.44
0.54,24.93
1.43,35.45
0.58,18.48
0.13,20.96
0.42,24.8
1.16,26.5
0.43,23.6
0.24,21.34
0.53,38.11
0.22,24.97
0.44,18.74
0.59,20.08
0.72,34.77
1.14,24.08
0.31,26.71
0.43,29.7
1.48,28.98
0.17,20.45
0.33,21.46
0.23,40.62
0.72,23.91
0.48,21.66
0.58,19.88
0.5,48.84
0.3,21.46
0.45,21.9
0.24,48
0.65,20.61
0.73,20.61
0.4,47.88
0.47,26.01
0.33,28
0.29,32.38
0.8,31.65
0.46,22.06
0.28,25.76
0.63,44.14
0.17,24.08
0.62,34.21
1.22,43.93
0.36,21.57
0.62,30.61
0.86,45.96
0.44,25.84
0.46,28.1
0.78,43.03
0.64,31.76
0.37,40.72
0.79,39.81
0.31,22.86
0.13,47.88
0.17,37.31
0.58,23.76
0.12,51.88
0.38,25.7
0.82,24.5
0.29,56.71
0.38,25.54
0.07,35.78
0.68,43.3
0.18,33.41
0.37,49.39
0.73,29.05
0.25,24.09
0.95,51.5
1.23,32.03
0.36,28.22
0.03,56.32
0.34,32.86
0.26,58.53
0.85,35.8
0.71,35.35
0.42,48.45
0.36,30.3
0.36,51.78
1.6,32.03
0.36,30.62
0.29,58.52
0.37,27.52
0.4,59.85
0.8,29.69
0.3,36.72
0.63,54.17
0.39,34.25
0.52,57.97
0.3,37.3
0.34,58.32
0.36,31.74
0.53,54.8
0.41,46.73
0.22,67.51
0.7,51.59
0.52,56.73
1.8,39.8
0.6,46.63
0.58,51.38
0.39,74.38
1.79,38
0.35,38.53
0.41,57.97
0.3,41.71
0.25,60.73
0.48,34.18
0.41,66.16
0.37,37.82
0.56,67.53
0.31,34.23
0.69,89.19
0.36,52.06
1.67,60.73
0.23,42.3
0.94,59.8
0.29,67.09
0.38,58.6
0.63,73.3
0.7,42.88
0.58,63.84
0.11,29.98
0.4,65.74
0.49,40.77
0.57,71.67
0.52,38.71
0.49,71.56
0.32,48.46
1.05,69.07
0.47,60.18
0.46,48.7
0.85,67.31
0.5,44.57
0.54,73.55
0.46,40.78
0.41,76.45
0.33,66.07
0.22,52.3
0.44,72.04
0.48,34.06
0.51,78.29
0.38,47.23
0.32,70.85
0.65,77.23
0.3,46.6
0.67,70.33
0.33,43.01
1.21,69.32
0.5,82.2
0.21,49.22
0.27,83.42
0.5,85.32
0.39,53.99
0.71,83.44
0.67,76.51
0.4,47.28
0.69,76.22
0.63,85.31
0.09,41.79
0.38,82.86
0.55,81.46
0.3,57.69
0.36,104.73
0.32,77.42
0.29,92.91
0.5,56.74
1.34,68.92
0.28,88.28
0.54,85.63
0.62,55.17
0.39,75.15
0.46,81.8
0.38,58.6
0.22,94.99
0.64,82.48
0.95,90.75
0.21,48.06
0.49,91.68
0.48,85.08
0.32,95.19
0.3,94.1
0.07,77.45
0.64,88.13
0.41,91.87
0.4,76.56
0.24,56.51
0.73,94.23
0.42,90.67
0.38,89.76
0.36,53.04
0.29,88.33
0.18,94.25
0.64,106.47
0.54,91.02
0.54,82.5
0.02,69.75
0.43,90.82
0.72,89.01
0.41,117.23
0.09,117.37
0.43,112.04
0.49,121.55
0.66,109.32
0.6,120.62
0.7,91.81
0.29,80.88
0.15,71.41
0.64,85.69
0.51,93.85
0.17,96.01
0.26,77.14
0.45,106.19
1.6,83.58
